"codigo";"descricao";"descricao_breve"
"A00";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A01";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A02";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A03";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A04";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A05";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A06";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A07";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A08";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A09";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A10";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A11";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A12";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A13";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A14";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A15";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A16";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A17";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A18";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A19";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A20";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A21";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A22";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A23";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A24";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A25";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A26";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A27";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A28";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A29";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A30";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A31";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A32";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A33";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A34";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A35";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A36";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A37";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A38";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A39";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A40";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A41";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A42";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"A43";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
