"codigo";"descricao";"descricao_breve"
"A00";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A01";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A02";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A03";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A04";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A05";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A06";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A07";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A08";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A09";"Doenças infecciosas intestinais";"Doenças infecciosas intestinais"
"A15";"Tuberculose";"Tuberculose"
"A16";"Tuberculose";"Tuberculose"
"A17";"Tuberculose";"Tuberculose"
"A18";"Tuberculose";"Tuberculose"
"A19";"Tuberculose";"Tuberculose"
"A20";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A21";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A22";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A23";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A24";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A25";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A26";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A27";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A28";"Algumas doenças bacterianas zoonóticas";"Algumas doenças bacterianas zoonóticas"
"A30";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A31";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A32";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A33";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A34";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A35";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A36";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A37";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A38";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A39";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A40";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A41";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A42";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A43";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A44";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A45";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A46";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A47";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A48";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A49";"Outras doenças bacterianas";"Outras doenças bacterianas"
"A50";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A51";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A52";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A53";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A54";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A55";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A56";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A57";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A58";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A59";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A60";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A61";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A62";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A63";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A64";"Infecções de transmissão predominantemente sexual";"Infecções de transmissão predominantemente sexual"
"A65";"Outras doenças por espiroquetas";"Outras doenças por espiroquetas"
"A66";"Outras doenças por espiroquetas";"Outras doenças por espiroquetas"
"A67";"Outras doenças por espiroquetas";"Outras doenças por espiroquetas"
"A68";"Outras doenças por espiroquetas";"Outras doenças por espiroquetas"
"A69";"Outras doenças por espiroquetas";"Outras doenças por espiroquetas"
"A70";"Outras doenças causadas por clamídias";"Outras doenças causadas por clamídias"
"A71";"Outras doenças causadas por clamídias";"Outras doenças causadas por clamídias"
"A72";"Outras doenças causadas por clamídias";"Outras doenças causadas por clamídias"
"A73";"Outras doenças causadas por clamídias";"Outras doenças causadas por clamídias"
"A74";"Outras doenças causadas por clamídias";"Outras doenças causadas por clamídias"
"A75";"Rickettsioses";"Rickettsioses"
